1534k  110.178.52.75:8082
1527k  110.178.52.75:8083
1477k  110.178.52.111:8084
1460k  110.178.52.111:8082
1458k  110.178.52.111:8083
1438k  110.178.52.75:8084
1251k  113.26.166.90:8083
1058k  113.26.166.90:8082
1057k  223.10.12.38:8084
1057k  223.10.12.38:8083
1057k  223.10.12.38:8082
1056k  223.10.28.220:8084
1042k  223.10.28.220:8082
1042k  110.178.52.111:8085
1042k  110.178.38.156:8083
1042k  110.178.38.156:8082
1041k  223.10.28.220:8083
1041k  110.179.81.36:8083
1041k  110.179.81.36:8082
1041k  110.179.81.151:8083
1041k  110.179.81.151:8082
1041k  1.70.35.75:4022
1040k  110.178.52.75:8085
768k  110.179.81.13:8082
739k  110.179.80.155:8082
644k  110.179.81.13:8084
579k  223.10.63.66:8083
469k  110.179.81.13:8083
388k  223.10.63.66:8082
